Корректура текста;Редактирование и Корректура•2 часа назад;;12 заявок
Рерайтинг и размещение новостей на сайте;Рерайтинг•2 часа назад;;3 заявки
Отредактировать сборник;Редактирование и Корректура•2 часа назад;;4 заявки
Настроить веб-аналитику и электронную торговлю;Интернет-магазины•2 часа назад (2-й раз);;нет заявок
Нужен рерайт порядка 100 статей с публикацией на сайте (женская тема);Рерайтинг•2 часа назад;;3 заявки
Найти область допустимых значений;Контрольные, Задачи и Тесты•2 часа назад;;нет заявок
Нужно сделать сео анализ сайта;Поисковые системы (SEO)•2 часа назад;;8 заявок
Привязка прайсов поставщика с интернет-магазином;Веб-программирование•2 часа назад;;3 заявки
Drupal. При нажатии на иконку адреса выходила карта.;Системы управления (CMS)•2 часа назад;;2 заявки
Логотип для канала YouTube;Логотипы и Знаки•2 часа назад;;13 заявок
Создание сайта под ключ;Сайты «под ключ»•2 часа назад;;9 заявок
Нужен лендинг;Сайты «под ключ»•3 часа назад (2-й раз);;29 заявок
Оптимизировать код страницы, вывести данные на гугл карту WP;Веб-программирование•3 часа назад (2-й раз);;4 заявки
SEO инструмент для YouTube;Социальные сети (SMM и SMO)•3 часа назад;;нет заявок
Битрикс, на сайте внедрить галочку согласия о персональных данных;Веб-программирование•3 часа назад;;3 заявки
HTML разметка страницы;HTML-верстка•3 часа назад;$5;7 заявок
Написание 16 информационных статей по заданным ключам;Копирайтинг•3 часа назад (2-й раз);$27;8 заявок
ReactJS разработчик на клиентское приложение;Веб-программирование•3 часа назад (2-й раз);;нет заявок
AngularJS – Frontend разработчик на клиентское приложение;Веб-программирование•3 часа назад (2-й раз);;3 заявки
Заполнение карточек товара;Наполнение сайтов•3 часа назад;;8 заявок
Улучшение сайта бюро переводов;Веб-программирование•3 часа назад;;1 заявка
Скрипт для сайта;Веб-программирование•3 часа назад;;нет заявок
Создание прототипов для проекта;Веб-программирование•3 часа назад;;1 заявка
Написать 18 текстов авто тематика;Копирайтинг•3 часа назад;;9 заявок
Примерно 60 текстов для сервисного центра по ремонту электроники;Копирайтинг•3 часа назад;;13 заявок
Доделать сайт на Joomla (изменить дизайн на некоторых страницах);HTML-верстка•3 часа назад;;4 заявки
Верстка 1 страницы для WordPress;HTML-верстка•3 часа назад;;7 заявок
3 Анимационных  ролика для рекламы  фитнес приложения и биржи тренеров;Анимация, Видеомонтаж•3 часа назад;;5 заявок
Программист на Script Shop;Веб-программирование•3 часа назад;;1 заявка
Разработка стратегии;Поисковые системы (SEO)•3 часа назад;;2 заявки
СРОЧНО!!! Перевод с украинского на литовский;Переводы•3 часа назад;$11;2 заявки
Размещение статей на ресурсах;Наполнение сайтов•4 часа назад (2-й раз);$4;17 заявок
Разработка французской версии сайта;Веб-программирование•4 часа назад;$50;2 заявки
Прорисовать дневник ученика для занятий по робототехнике;Иллюстрации и Рисунки•4 часа назад;;3 заявки
Снять и смонтировать 14 видео по 40 секунд. Кухонные гарнитуры;4 часа назад;;нет заявок
[Wordpress] плагин не понимает кириллицу - исправить;Системы управления (CMS)•4 часа назад;;1 заявка
Разработка логотипа;Логотипы и Знаки•4 часа назад;$10;26 заявок
Извлечение и обработка ключевых слов из текста;Наполнение сайтов•4 часа назад;$100;нет заявок
Подключение uLogin к сайту на Yii 2;Веб-программирование•4 часа назад (2-й раз);$5;1 заявка
"Seo-оптимизация сайта ""под ключ""";Поисковые системы (SEO)•4 часа назад;;7 заявок
Сделать функцию поиска по карте;Системы управления (CMS)•4 часа назад (15-й раз);$70;13 заявок
Landing page под ключ;Дизайн сайтов•4 часа назад;$50;10 заявок
Нужно написать фильтр выбора шин по марке автомобиля.;Веб-программирование•4 часа назад;;1 заявка
Сверстать внутренность книги;HTML-верстка•4 часа назад;;3 заявки
Написать функцию случайного определения победителя с учетом шансов;Веб-программирование•5 часов назад;;8 заявок
Настроить Ubuntu Server 16 + Isp;Системное администрирование•5 часов назад;;5 заявок
Анимированные ролики (каркасное домостроение);Видеомонтаж, Анимация•5 часов назад;;8 заявок
Собрать h-script;Веб-программирование•5 часов назад;;1 заявка
Доработка  в joomla 3   Adsmanager;Веб-программирование•5 часов назад (3-й раз);$35;1 заявка
Значок для названия сыра;Логотипы и Знаки•5 часов назад;;21 заявка
Разработка сайта-визитки MODX revo;Сайты «под ключ»•5 часов назад;$130;7 заявок
Сайт на Wordpress;Веб-программирование•5 часов назад;$172;8 заявок
Нишевый сайт (реестр специалистов);Веб-программирование•5 часов назад;;1 заявка
Выгрузка товаров в FaceBook по XML через ocStore 2.1.0.2.1;Веб-программирование•5 часов назад (3-й раз);;3 заявки
Продвижение ювелирного сайта по реферальной программе;Социальные сети (SMM и SMO)•5 часов назад (2-й раз);;1 заявка
Качественная переверстка;HTML-верстка•5 часов назад;;9 заявок
Установить на мак фотошоп;Системное администрирование•5 часов назад (22-й раз);;9 заявок
Вывод сайтов в ТОП 10 (разово, не вакансия);Поисковые системы (SEO)•5 часов назад;$300;6 заявок
Продвижение сайта www.unintel.ru;Социальные сети (SMM и SMO)•5 часов назад;;4 заявки
Сделать правки по сайту OpenCard;Веб-программирование•5 часов назад;;нет заявок
Создание анимационного баннера;Баннеры•5 часов назад;;9 заявок
Автор для строительного сайта;Рерайтинг•5 часов назад (2-й раз);;10 заявок
Автор для строительного сайта;Рерайтинг•5 часов назад (2-й раз);;10 заявок
Реализация оболочки взаимодействия с HID устройством для ОС Windows;Системное программирование, Интерфейсы игр и программ•5 часов назад;$1000;3 заявки
3d modeling;3D-графика•5 часов назад;;2 заявки
Отрисовать в фотошопе иллюстрации;Иллюстрации и Рисунки•5 часов назад;;14 заявок
Продвижение Инстаграм акаунта;Социальные сети (SMM и SMO)•5 часов назад;;6 заявок
Создание упаковки для продажи на онлайн платформах;Дизайн продукции•5 часов назад;;7 заявок
Логотип;Логотипы и Знаки•5 часов назад;;21 заявка
Доработка функционала сайта на Yii2;Веб-программирование•5 часов назад;;3 заявки
Нарисовать подарки для соц-сети с хорошим качеством;Иллюстрации и Рисунки•5 часов назад;;2 заявки
Сделать лендинг по готовому шаблону ВП;Сайты «под ключ»•5 часов назад;$3000;6 заявок
Эксперт по Yii Framework;Веб-программирование•5 часов назад;;3 заявки
Верстка журнала;Верстка полиграфии•5 часов назад;;8 заявок
Нужно создать сайт-админку для введения бух.учета;Сайты «под ключ»•5 часов назад (4-й раз);$300;26 заявок
Приложение на Ionic;ПО для мобильных устройств•6 часов назад;;1 заявка
Разработка сайта, рейтинг брокеров;HTML-верстка•6 часов назад (2-й раз);;9 заявок
Текст для сайта выставочной компании;Копирайтинг•6 часов назад;;8 заявок
Разработать Связку для Лидогенерации;Веб-программирование•6 часов назад;;нет заявок
Переводчик турецкого;Переводы•6 часов назад;;нет заявок
Сделать сайт под ключ (агрегатор кредитов);Сайты «под ключ»•6 часов назад;;8 заявок
Выгрузка товаров из Яндекс Фида на сайт Wordpress;Интернет-магазины, Веб-программирование•6 часов назад (2-й раз);$50;4 заявки
Сценарное тестирование сайта;Тестирование сайтов•6 часов назад (2-й раз);$25;4 заявки
Перенести сайт на новый домен + правки;Веб-программирование•6 часов назад;;нет заявок
Контент-менеджер;Продающие тексты•6 часов назад;;4 заявки
Реализовать «хлебные крошки» в интернет-магазине на WordPress;Веб-программирование•6 часов назад;;3 заявки
Сканирование литературы;Редактирование и Корректура•6 часов назад (2-й раз);;6 заявок
"Сайт психолога ""под ключ""";Сайты «под ключ»•7 часов назад;;16 заявок
Содание страничек в фейсбуке;Социальные сети (SMM и SMO)•7 часов назад;$300;11 заявок
Исправить ошибки woocommerce;Системы управления (CMS)•7 часов назад;;1 заявка
Интернет магазин на купленном шаблоне.;Интернет-магазины•7 часов назад;;5 заявок
Добавление фона;Обработка фотографий•7 часов назад;$5;23 заявки
Натянуть верстку на битрикс, интеграция с 1с;Веб-программирование•7 часов назад;;3 заявки
Нужен совет по продюсированию;Музыка и Звуки•7 часов назад;;4 заявки
Создать мультик 2д анимация;Анимация•8 часов назад;;5 заявок
Лендинг-Сайт!;Сайты «под ключ»•8 часов назад;;7 заявок
Написать PHP-скрипт;Веб-программирование•8 часов назад;;6 заявок
Подключить форму заказа на сайте к почте и смс;Веб-программирование•8 часов назад;;5 заявок
Пост в в группе в контакте;Социальные сети (SMM и SMO)•8 часов назад;;5 заявок
Наполнить доску объявлений новыми объявлениями;Наполнение сайтов•8 часов назад;;нет заявок
Адаптировать программную часть под новый дизайн (1 страница);Веб-программирование•9 часов назад (6-й раз);;3 заявки
Лендинг на конструкторе (5-7экранов);Сайты «под ключ»•9 часов назад;;9 заявок
Сделать  сайт;Веб-программирование•9 часов назад;;1 заявка
Доделать прайс в 1С;1С-программирование•9 часов назад;;нет заявок
Помощь по заполнению поля с помощью JS-скрипта.;Веб-программирование•9 часов назад;;1 заявка
Технический дизайн 2х этажная Гостиница СПБ - 50 номеров от 30 до 40м2;Интерьеры и Экстерьеры•9 часов назад;;8 заявок
Вёрстка сайта;HTML-верстка•9 часов назад;$10;5 заявок
Сформировать на сайте фид поставщиков. YML, XML или CSV;Веб-программирование•9 часов назад;;3 заявки
Работа с сайтом на WordPress;Системы управления (CMS)•9 часов назад;;8 заявок
Починить сайт на Битриксе;Веб-программирование•9 часов назад;;6 заявок
Убрать или заменить синонимами все спамные конструкции в текстах;Редактирование и Корректура•9 часов назад;;2 заявки
Дизайн плаката;Дизайн продукции•9 часов назад;$35;6 заявок
Брошюра формата half letter $20;Дизайн продукции•9 часов назад;$20;2 заявки
Доработки по сайту Wordpress;Веб-программирование•9 часов назад;$10;5 заявок
Верстальщик;HTML-верстка•9 часов назад;$26;17 заявок
Написание текста;Копирайтинг•10 часов назад (10-й раз);$2;65 заявок
Нужен дизайн баннера на окна;Наружная реклама•10 часов назад (2-й раз);;26 заявок
Создание видеороликов для майнкрафт:;Видеомонтаж•13 часов назад;;1 заявка
Дизайн игровой панели;Интерфейсы игр и программ•16 часов назад;;10 заявок
Доработка сайта на Wordpress;Веб-программирование•17 часов назад;;3 заявки
Развернуть простейшие php-скрипты на VPS-ке;Системное администрирование•18 часов назад (14-й раз);$10;14 заявок
Парсер для xenforo XenForo 1.5.14;Веб-программирование•18 часов назад (2-й раз);;2 заявки
Записать аудио приветствие компании;Озвучивание•18 часов назад;$5;18 заявок
Онлайн-калькулятор на 2 сайта;Веб-программирование•18 часов назад;;2 заявки
Исправить Network проблемы;Веб-программирование•18 часов назад (3-й раз);$25;3 заявки
Система приёма/обработки заказов (на осн. имеющихся шаблонов).;Системное программирование•19 часов назад;;нет заявок
Графики на библиотеке JS;Веб-программирование•19 часов назад;;4 заявки
Рерайтинг 92 медицинских новостей;Рерайтинг•19 часов назад;;9 заявок
Перевод с испанского языка;Переводы•19 часов назад;;1 заявка
Moysklad.ru МойСклад api json Delphi XE10 авторизация, получение табли;Прикладное ПО•19 часов назад;;3 заявки
"Схемотехника, разработка устройства ""видеодомофон""";Чертежи и Схемы•19 часов назад;;1 заявка
Редизайн сайта;Дизайн сайтов•19 часов назад;;15 заявок
Парсер сайта;Веб-программирование•19 часов назад;;5 заявок
Разместить 30-40 постов;Социальные сети (SMM и SMO)•19 часов назад;$3;10 заявок
Требуется дизайн и верстка газеты;Верстка полиграфии•19 часов назад;;3 заявки
Задачи по доработке проектов на php (Yii), javascript;Веб-программирование•20 часов назад;;3 заявки
Указать к адресам округа города москвы;Наполнение сайтов•20 часов назад;;10 заявок
Необходимо добавить 2 функции в проект;ПО для мобильных устройств•20 часов назад (2-й раз);$3;4 заявки
Адаптивная верстка интернет-магазина;HTML-верстка•20 часов назад;;30 заявок
Построение графика на сайте. JS, PHP;Веб-программирование•20 часов назад;;3 заявки
Создание обратного светчика Акции;Веб-программирование•20 часов назад;;2 заявки
Верстка сайта;HTML-верстка•20 часов назад;;4 заявки
Верстка сайта;HTML-верстка•20 часов назад;;4 заявки
Web-бот;Веб-программирование•21 час назад;;2 заявки
Ищем специалиста по Prestashop для интеграции платежного модуля;Веб-программирование•21 час назад (5-й раз);;2 заявки
Верстка сайта Адаптив 2 страницы;HTML-верстка•21 час назад;$30;23 заявки
Верстка, правка небольшой книги 114 стр;Верстка полиграфии•21 час назад;;6 заявок
Ставить лайки на площадке irecommend;Социальные сети (SMM и SMO)•21 час назад;;1 заявка
Верстка фотокниги выпускников 4 класса.;Обработка фотографий•21 час назад;;11 заявок
Верстка подкатегорий для интернет-магазина на Opencart;HTML-верстка•21 час назад;;2 заявки
Конфигуратор-калькулятор для сайта;Веб-программирование•22 часа назад (2-й раз);;9 заявок
"Система домашней автоматизации ""Умный дом Dom-logic.net""";Системное программирование•22 часа назад;;4 заявки
Контекстная реклама (Google AdWords);Контекстная реклама•22 часа назад;;14 заявок
Сделать к живому сайту (наOsCommerce/VamShop) адаптив/мобильную версию;HTML-верстка•22 часа назад;;7 заявок
Логотип для сайта;Логотипы и Знаки•22 часа назад;;27 заявок
Дизайн сайта пансионата (гостиницы);Дизайн сайтов•22 часа назад;;31 заявка
Скопировать 300 страниц.;HTML-верстка•22 часа назад;;29 заявок
Создать презентацию франшизы PSD и PDF;Презентации•23 часа назад;;6 заявок
Необходимо решение по кастомизации галереи на WP;Системы управления (CMS)•23 часа назад;;нет заявок
Вывести ПВЗ СДЭК на карту и списком;Веб-программирование•23 часа назад;;4 заявки
Написание и публикация отзывов;Наполнение сайтов•23 часа назад (2-й раз);;18 заявок
Нужен Человек, понимающий в svg и snap;Веб-программирование•23 часа назад;;1 заявка
Эскиз корпуса в 3-d;3D-графика•23 часа назад;;17 заявок
Перевод сайта;Переводы•23 часа назад;;15 заявок
Правки в сайте на самописном php движке;Веб-программирование•23 часа назад;$20;2 заявки
Автор для написания Человеко- и поисковоориентированных  статей;Копирайтинг•1 день назад (2-й раз);;19 заявок
Срочно верстка макета православного календаря 7 листов;Верстка полиграфии•1 день назад;;8 заявок
Проведение расслыки через Unisender (html, utm-метки и т.д.);HTML-верстка•1 день назад;;2 заявки
Перенос шаблона (дизайна сайта) с Joomla на ocStore;Системы управления (CMS)•1 день назад;;4 заявки
Необходимо по нажатию на некоторые кнопки добавить js вызовы;HTML-верстка•1 день назад;$45;1 заявка
Скопирование сайта;HTML-верстка•1 день назад;;38 заявок
"Текст в раздел ""О нас""";Продающие тексты•1 день назад;$10;6 заявок
Внести правки в файл .Ai через Adobe Illustrator;Верстка полиграфии•1 день назад;$4;7 заявок
Адаптивная верстка на вордпресс;HTML-верстка•1 день назад;;22 заявки
Требуется опытный yii программист;Веб-программирование•1 день назад;;4 заявки
Натяжка верстки и разработка функционала на Drupal;Веб-программирование•1 день назад (4-й раз);;6 заявок
Требуется заполнение интернет-магазин товарами;Наполнение сайтов•1 день назад;;25 заявок
Программист Unity C#;Разработка игр•1 день назад;;1 заявка
Нужно сделать импорт товаров;Веб-программирование•1 день назад;;5 заявок
Написать проект на CodeIgniter;Веб-программирование•1 день назад;;1 заявка
Несколько баннеров для сайта;Баннеры•1 день назад;;11 заявок
Размещение отзывов на Букинкоме;Наполнение сайтов•1 день назад;;2 заявки
Сайт-визитка на HTML+CSS без картинок и текста;Сайты «под ключ»•1 день назад;;27 заявок
Яндекс директ;Контекстная реклама•1 день назад;$25;14 заявок
Modx. Фильтр по TV категориям;Веб-программирование•1 день назад;;3 заявки
Нужны отзывы;Наполнение сайтов•1 день назад;$30;8 заявок
Реализовать ajax фильтрацию товаров в соответствии с макетом;Веб-программирование•1 день назад;;3 заявки
Нужен парсер и надписать код;Веб-программирование•1 день назад;;6 заявок
Восстановить базу mysql;Базы данных•1 день назад;$50;4 заявки
Вставить скрипт плеера фоток;Веб-программирование•1 день назад;;2 заявки
Наполнить базу данных по ЧМ2018 в Wordpress / League Manager;Наполнение сайтов•1 день назад;;3 заявки
Нужен редактор на 10 статей.;Редактирование и Корректура•1 день назад;;1 заявка
Верстка выпадающего меню;HTML-верстка•1 день назад;;13 заявок
Внести на сайт 35 акций;Наполнение сайтов•1 день назад;;14 заявок
Сделать мелкие правки по сайту VAM SHOP;Веб-программирование•1 день назад;$3;3 заявки
Доделать магазин на опенкарте;Интернет-магазины•1 день назад;$9;3 заявки
Дизайн упаковки для гриль матов;Дизайн продукции•1 день назад (2-й раз);;9 заявок
Составить ТЗ на созд интернет-маг, Акт приема-перед. и договор подряда;Копирайтинг•1 день назад;;1 заявка
Необходимо сверстать сайт на Wordpress;HTML-верстка•1 день назад;;15 заявок
Нужен DevOps разработчик;Веб-программирование•1 день назад;;нет заявок
Собрать информацию из окна, отправить в базу.;Прикладное ПО•1 день назад;;нет заявок
Тексты вопрос на форуме, 10 шт по 300 символов;Копирайтинг•1 день назад;$6;1 заявка
Пересхранить файл корел17 в корел до 13 года;Иллюстрации и Рисунки•1 день назад;;4 заявки
Логотип для проекта Ghostwriters;Логотипы и Знаки•1 день назад;;23 заявки
Программист 1с-бирикс для постоянной работы.;Системы управления (CMS)•1 день назад;;4 заявки
Требуются программисты;Веб-программирование•1 день назад;;6 заявок
Доработка типового магазина на Битрикс;Веб-программирование•1 день назад;;3 заявки
Требуется талантливый RoR-разработчик;Веб-программирование•1 день назад;;нет заявок
Система приёма/обработки заказов (на осн. имеющихся шаблонов).;Веб-программирование•1 день назад;$120;2 заявки
Дизайн LP для мобильного;Дизайн мобильных приложений•1 день назад;$5;9 заявок
Автор мед статей;Копирайтинг•1 день назад;;3 заявки
Разместить объявления на доски и форумы;Наполнение сайтов•1 день назад;;7 заявок
Наполнение сайта DLE;Наполнение сайтов•1 день назад;;4 заявки
Требуется верстальщик;HTML-верстка•1 день назад;;49 заявок
Доработка заказа товара;Веб-программирование•1 день назад;;нет заявок
Создать Landing Page;Сайты «под ключ»•1 день назад;;25 заявок
Доработки opencart;Веб-программирование•1 день назад (2-й раз);;2 заявки
Перенос XLSX файлов в Google Docs с доп. обработкой;Прикладное ПО•1 день назад;$85;нет заявок
Дизайн рекламного каталога формата А5;Дизайн продукции•1 день назад;;6 заявок
Курсовая, электроника;Рефераты, Курсовые и Дипломы•1 день назад;;1 заявка
Создание двух изображений для слайдера;Иллюстрации и Рисунки•1 день назад;;6 заявок
Выполнить три темы;Копирайтинг•1 день назад;;5 заявок
Необходимы баннеры для сайта;Баннеры•1 день назад;;16 заявок
Юридическое сопровождение взыскания долга;Юридические услуги•1 день назад;;4 заявки
Складская программа для партнёров.;Прикладное ПО•1 день назад (3-й раз);;8 заявок
Мобильная версия сайта;HTML-верстка•1 день назад (2-й раз);;30 заявок
Парсер каталогов автомобильных запчастей (elcats, tecdoc и прочие);Веб-программирование•1 день назад (2-й раз);;12 заявок
SMM специалист;Социальные сети (SMM и SMO)•1 день назад;;2 заявки
Сделать дизайн адаптивной версии сайта;Дизайн сайтов•1 день назад;;9 заявок
Продвинуть сервис по поиску врачей в Google;Поисковые системы (SEO)•1 день назад;;11 заявок
Адаптивная верстка на Bootstrap;HTML-верстка•1 день назад;;4 заявки
Нарисовать дизайн шапки сайта;Дизайн сайтов•1 день назад;;16 заявок
Необходимо написать текст на сайт;Копирайтинг•1 день назад;;4 заявки
Афиша и флаер;Дизайн продукции•1 день назад;;14 заявок
Дизайнер посадочных (landing) страниц;Дизайн сайтов•1 день назад;;41 заявка
Небольшие доработки на WP;Веб-программирование•1 день назад;;7 заявок
Нужен специалист по трафику (smm, КМС);Социальные сети (SMM и SMO)•1 день назад;;5 заявок
Дизайнер для сайт квест комнат.;Дизайн сайтов•1 день назад;;29 заявок
Программа и приложение;Прикладное ПО•1 день назад;;13 заявок
Нарисовать баннер и аватар;Баннеры, Иконки и Пиксель-арт•1 день назад;;26 заявок
Фото товара в шаблоне письма Opencart 2.3;Веб-программирование•1 день назад;;3 заявки
Разработка проекта на Битрикс;Веб-программирование•1 день назад;;3 заявки
Заполнение карточек товаров в Интернет-магазине;Наполнение сайтов•1 день назад;;3 заявки
Переверстать сайт интернет-магазина (opencart, bootstrap);HTML-верстка•1 день назад;;5 заявок
Сверстать личный кабинет;HTML-верстка•1 день назад;;11 заявок
Настройка сквозной аналитики на базе GA;Веб-программирование•1 день назад (2-й раз);;нет заявок
Граббер/Парсер на Php. 1 сайт;Веб-программирование•1 день назад (2-й раз);;5 заявок
Программные правки и доработки на кастомной SImpla CMS;Веб-программирование•1 день назад;;1 заявка
Создать плагин для вордпресса;Системы управления (CMS)•1 день назад;;2 заявки
Перенос блога Wordpress;Системы управления (CMS)•1 день назад;;7 заявок
Доработка коробочного CRM битрикс 24;Веб-программирование•1 день назад;;2 заявки
Внести изменения и корректировки на текущий сайт;Веб-программирование•1 день назад;;3 заявки
Ищем специалиста для развития проекта (yii2).;Веб-программирование•1 день назад;$3300;3 заявки
Разработчик Yii 2;Веб-программирование•1 день назад (3-й раз);;15 заявок
Unity 3d version 5.3.6p1 Нужно сделать плагин Push-уведомлений Android;Разработка игр•1 день назад;;2 заявки
Доработка отправки заказов на определенную почту;Веб-программирование•1 день назад;;2 заявки
Поле промокод в корзине;Веб-программирование•1 день назад;;1 заявка
Продвижение аккаунта instagram;Социальные сети (SMM и SMO)•1 день назад;$1000;10 заявок
Интерактивная игра на Unity;Разработка игр•1 день назад;;нет заявок
Ищу копирайтера. Тематика: реклама и маркетинг.;Копирайтинг•1 день назад;;9 заявок
Внести изменения в верстку магазина Opencart;HTML-верстка•1 день назад (2-й раз);;7 заявок
Генерация рекламных объявлений (Google Tensorflow);Веб-программирование•1 день назад;;нет заявок
Настройка эффективности рекламы Facebook на основании pixel;Социальные сети (SMM и SMO)•1 день назад;;1 заявка
Требуется анализ р/к в Директе;Контекстная реклама•1 день назад;;19 заявок
Правки для сайта на MODX;Веб-программирование•1 день назад;;5 заявок
Оценка эффективности рекламы facebook на основе google analitics;Социальные сети (SMM и SMO)•1 день назад (2-й раз);;3 заявки
Исправить на сайте ошибки движок wordpress -  WooCommerce;Системы управления (CMS)•1 день назад;$10;1 заявка
При наведении на фото отображение атрибутов товара  JoomShopping;Веб-программирование•1 день назад;;2 заявки
Написать статью-обзор;Копирайтинг•1 день назад;$3;10 заявок
PhpMorphy – скрипт изменения формы слов;Веб-программирование•1 день назад;;6 заявок
Разработка системы автоматического управления дроном с десктопа.;Прикладное ПО•1 день назад;;1 заявка
Верстка OpenCart;HTML-верстка•1 день назад;;6 заявок
Комплексное продвижение сайта;Контекстная реклама•1 день назад (4-й раз);;4 заявки
Дизайн сайта;Дизайн сайтов•1 день назад;$600;20 заявок
Сделать дизайн студии;Интерьеры и Экстерьеры•1 день назад;;16 заявок
Нужен калькулятор стоимости для ModX;Веб-программирование•1 день назад (3-й раз);;9 заявок
Проектирование лестницы;Чертежи и Схемы•1 день назад;;9 заявок
Увеличить число подписчиков в группе ВК;Социальные сети (SMM и SMO)•1 день назад;;9 заявок
Обработать кадр из фильма, чтобы напечатать на фотообои;Обработка фотографий•1 день назад;$20;13 заявок
Нужен Seo- специалист, который проработает каталог и добавит мета-теги;Поисковые системы (SEO)•1 день назад;;7 заявок
Доработка сайта на Opencart;HTML-верстка•1 день назад;;1 заявка
Написание ботов для Вайбер, Телеграм, Вотсап.;Веб-программирование•1 день назад;;2 заявки
Доработки сайта на wordpress;Веб-программирование•1 день назад (2-й раз);;12 заявок
Выполнить правки по YII;Интернет-магазины•1 день назад (3-й раз);;7 заявок
Нужно написать креативный текст для аудиоролика на радио;Копирайтинг•1 день назад;$85;8 заявок
Ландшафтный дизайн участка;Ландшафтный дизайн•1 день назад (4-й раз);;19 заявок
Парсер объявлений на OsClass;Веб-программирование•1 день назад (4-й раз);;5 заявок
Дизайн лендинга;Дизайн сайтов•1 день назад;;33 заявки
Деобфускация Java приложения;Веб-программирование•1 день назад;;нет заявок
Иконки для товарных групп;Иконки и Пиксель-арт•1 день назад;;18 заявок
Grabber python для таблиц атласиан;Веб-программирование•1 день назад;;нет заявок
Нужно сделать 8 лабораторных по моделированию в программе ASPEN;Лабораторные работы•1 день назад;;1 заявка
Подбор шаблона на ModX или wordpres c последующим продвижением;Системы управления (CMS)•1 день назад;;1 заявка
Сверстать и запустить сайт-портфолио в HTML по готовому дизайну.;HTML-верстка•1 день назад;;13 заявок
Требуется создать лого.;Логотипы и Знаки•1 день назад;$5;12 заявок
Маркетинговая стратегия для бизнеса развлекательных услуг;Управление проектами•1 день назад;$500;5 заявок
Разделить базу на несколько предприятий;1С-программирование•1 день назад;;6 заявок
Создать рекламную кампанию в Фейсбуке, Инстаграмме, Гугл, Яндекс;Контекстная реклама•1 день назад;;13 заявок
Автоматический заполнитель банковских анкет и справок;Прикладное ПО•1 день назад;;4 заявки
Тест ПО;Тестирование ПО•1 день назад;;10 заявок
Разблокировка модема mifi 5792;Системное администрирование•1 день назад;$5;1 заявка
Продвижение сайта;Поисковые системы (SEO)•1 день назад;;21 заявка
